G                               1         0.0000000000      0.0000000000      0.0000000000      0.0000000000
H                             101         2.1892688251      0.5000000000     -0.5000000000     -0.5000000000
P                             188         4.0852312433      0.7500000000      0.2500000000     -0.2500000000
N                             238         5.1798656558      0.5000000000      0.0000000000     -0.5000000000
G                             309         6.7279124879      0.0000000000      0.0000000000      0.0000000000
H                             409         8.9171813129      0.5000000000      0.5000000000      0.5000000000
N                             480        10.4652281450      0.5000000000      0.0000000000      0.0000000000
G                             551        12.0132749770      0.0000000000      0.0000000000      0.0000000000
P                             638        13.9092373952      0.7500000000      0.2500000000     -0.2500000000
N                             688        15.0038718078      0.5000000000      0.0000000000      0.0000000000
